Screen name,Follower count,Verified,Following count,Location,Description
abuyanjeric,149,False,226,,
MechNFT,29541,True,10449,The Metaverse,"Mech is an immersive gaming experience where you can battle, build, compete, earn, own, and create in-game assets using #AI. Powered by @0xpolygon"
seawindemperor,1,False,76,,海豐人。
sajeev_kumar,1042,False,2537,singapore,#Technology enthusiast|#Project Manager|#Trainer|#Keynote Speaker| Author
torekkonews,6327,False,307,Future,"Daily news about web & decentralized technologies of the future
powered by @torekkocom"
Di54695Diamante,0,False,86,,
Beautifu_aimyra,65,False,841,,"We offer free short crypto pumps twice weekly.
1 million persons in our telegram channels participate weekly in our pumps."
american_sonder,0,False,5,,NFTs about American Life
yfichngtin26955,1,False,31,,必炟福一飞冲天
andspringagain,141,False,365,,V.I.P until whenever 💛💛💛💛💛 Until the end of time and some more.
Muhamma00443596,0,False,4,,
tomatochain,19141,False,46,,Official Tongtongcoin account.
RyanCopley11,1,False,34,,
VHung1970,25,False,289,,Van.hung1970
Coen19Coen,72,False,199,"Morgantown, WV",Right retired chef 30 years The retired since 40 and work and dabble in investing and reading up on investments Bitcoin Ethereum and FTS
tuna_mayo33,164,False,100,相方（自称、彼女）：@pina_ta921　親友：募集中,"名前の「。」に命が宿る生き物。
※一次創作メインで活動中

■お仕事用：@tsuna_mayo33_

■ふぁんあーと：＃しょこらてぇあ
■考察・感想等：＃つなまよ君に届きますように

❌Don't use illusts without permission, Don't import illusts into AI"
gN9mmDbZsypZwXa,3,False,9,,はじめました。
Shiro35707324,3,False,29,,Gamers never die they respawn
lanchunxia,0,False,24,,
AarviRajput1,15,False,119,India,Senior Content writer
Donky_jpn,3,False,27,,"JAPAN🇯🇵
⛓NFT.Crypto⛓
@KaijuKingz 🦖🔥"
MarkChr01904713,7,False,31,,
dkp032368,0,False,26,Thane Mumbai,"Trader at wall Street 
Crypto trader
wantrepreneur"
eringi413,176,False,261,,
zainulridick,32,False,778,,Lakukan yang terbaik
renniefly,2,False,102,,"Fair Launch NFT Marketplace, #Airdrop 80% of $STB to great majority of NFT traders!
#STBAirdrop
https://t.co/ov2mN5iqoA"
zoesuper9,1,False,16,,
CardAlexx,219,False,97,Opensea,"Artist of many #Nft projects 🚀 | Participant of The Cart Game Project 🎮 | The #metaverse has a great future.
📈"
PercivalPerrins,1,False,50,,Quantum AI on the Blockchain https://t.co/L6m3HBN783
PaulMcCull425,1,False,19,,
PayGG5,43,False,284,USA.,"#NFT #cryptocurrencies news, updates and featured projects."
flgastudio,12,False,62,"New York, NY",
hackscrypto0003,0,False,5,Dubai,#NFT #CryptoAirdrops #Airdrop Hunter
0xcerf_,58,False,990,Ciudad Guayana-Venezuela,#BTC #TRX #BNB #AVAX #BINANCE 🇻🇪
0xAsbury,132,False,424,,How much is the pride?
NeuralLabsNFT,9,False,49,Web3,Revolutionizing NFTs with AI-generated collections. Join us at Neural Labs NFT as we push the boundaries of creativity in the digital art world. #NFT #AI
